Disposition,Orbital Period,Transit Epoch,Impact Parameter,Transit Duration,Transit Depth,Planetary Radius,Equilibrium Temperature,Transit Signal-to-Noise,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Radius,Right Ascension,Declination,Kepler-band
CONFIRMED,6.67,137.44,0.64,1.92,362,1.18,587,14.2,4201,4.68,0.59,295.58,44.55,15.06
CONFIRMED,4.08,169.64,0.09,3.23,17900,10.55,1016,1669.1,5655,4.58,0.79,284.83,44.66,15.2
CONFIRMED,42.14,139.06,0.05,5.08,896,1.85,349,21.6,4500,4.66,0.65,285.17,44.03,15.79
CONFIRMED,4.62,135.05,0.65,2.26,576,1.62,728,28.1,4500,4.66,0.65,285.17,44.03,15.79
CONFIRMED,10.2,137.92,0.71,2.43,634,1.75,559,21.4,4500,4.66,0.65,285.17,44.03,15.79
FALSE POSITIVE,5.8,172.7,0.95,3.25,1690,4.33,950,119.4,5865,4.56,0.83,296.51,44.04,15.29
CONFIRMED,7.16,174.14,0.45,2.59,867,2.47,782,47.7,5029,4.49,0.84,289.59,44.14,15.46
CONFIRMED,17.65,133.55,0.65,2.09,763,2.43,579,23.8,5029,4.49,0.84,289.59,44.14,15.46
CONFIRMED,4.15,133.39,0.09,2.54,175,1.08,938,12.9,5029,4.49,0.84,289.59,44.14,15.46
CONFIRMED,16.51,176.12,0.4,4.16,974,2.72,655,55.9,5527,4.49,0.87,296.57,44.11,15.22
CONFIRMED,30.13,190.38,0.84,5.17,1020,3.14,536,44.8,5527,4.49,0.87,296.57,44.11,15.22
CONFIRMED,4.79,136.31,0.11,2.6,251,1.36,990,21.2,5527,4.49,0.87,296.57,44.11,15.22
CONFIRMED,31.72,142.82,0.13,4.82,363,3.09,743,63.1,5869,4.02,1.63,292.93,48.6,12.94
CONFIRMED,99.64,198.69,0.03,4.45,953,2.64,360,22.7,5527,4.49,0.87,296.57,44.11,15.22
CONFIRMED,4.71,171.45,0.06,3.16,7910,10.6,1162,633.4,5560,4.25,1.21,298.64,44.17,15.11
FALSE POSITIVE,16.37,172.76,9.3,3.84,4150,540.37,438,54.5,4187,4.66,0.59,298.68,44.18,15.65
CONFIRMED,5.39,171.73,0.31,2.98,1150,2.68,850,77.4,5198,4.59,0.8,284.43,44.48,15.65
CONFIRMED,6.49,174.63,0.54,4.3,7160,9.66,1062,502.3,6123,4.41,1.11,285.55,45.58,15.65
FALSE POSITIVE,3.04,172.02,1.25,10.01,1700,24.54,1076,203.5,5525,4.6,0.75,293.68,45.52,15.62
CONFIRMED,3.86,170.68,0.35,3.22,16700,13.61,1212,1173.9,6033,4.46,1.05,296.39,45.57,15.27
FALSE POSITIVE,3.86,170.68,0.86,3.18,1030,3.57,1158,90.1,5936,4.5,0.97,296.4,45.57,15.05
CONFIRMED,38.48,151.85,0,5.04,23500,13.26,484,1077.8,5510,4.54,0.88,288.9,49.37,13.78
FALSE POSITIVE,37.6,194.71,0.41,8.31,59100,27.22,606,1667.3,6140,4.35,1.1,282.31,44.71,15.51
CONFIRMED,3.31,171.31,0.8,1.8,1400,3.94,1155,123.5,5609,4.48,0.94,293.45,44.79,15.14
FALSE POSITIVE,6.72,173.36,0.99,3.02,970,4.37,952,45.4,5931,4.48,0.87,301.05,44.71,15.17
CONFIRMED,39.64,206.6,0.06,6.53,15700,10.98,472,690.3,5231,4.46,0.9,283.98,44.81,15.01
FALSE POSITIVE,51.43,173.54,0.2,16.94,66100,29.66,549,1843.8,6257,4.41,1.15,290.64,44.81,15.63
CONFIRMED,21.8,190.5,0.75,3.41,1140,2.6,543,49.9,5481,4.63,0.71,291.72,44.89,15.07
CONFIRMED,10.28,175.34,0.17,3.44,1110,2.53,680,55,5196,4.59,0.78,291.84,44.86,15.53
CONFIRMED,18.12,182.62,0.21,4.23,1510,2.95,563,60.7,5196,4.59,0.78,291.84,44.86,15.53
CONFIRMED,3.78,133.28,0.69,1.9,426,1.7,949,25.6,5196,4.59,0.78,291.84,44.86,15.53
CONFIRMED,5.15,171.64,0.93,3.23,698,2.94,964,48.1,5431,4.46,0.88,294.85,45.03,15.37
FALSE POSITIVE,33.8,202.26,0.02,11.48,13500,20.7,745,529.9,5855,4,1.8,297.48,41.11,13.11
CONFIRMED,5.74,174.9,0,3.44,1240,3.13,982,79.7,5897,4.53,0.89,291.09,45.12,15.54
FALSE POSITIVE,19.97,171.63,0.89,4.23,40300,26.56,700,1398.8,6108,4.47,1,289.73,45.37,15.22
CONFIRMED,3.17,170.97,0.03,3.31,1470,3.82,1273,128.3,6007,4.47,1,286.36,45.41,15.6
FALSE POSITIVE,23.9,188.98,1.25,3.82,21000,44.04,652,547.8,6192,4.5,0.92,294.72,45.49,15.45
CONFIRMED,3.39,170.53,0.43,2.68,280,2.11,1315,30.6,5553,4.22,1.25,292.58,46.1,15.07
CONFIRMED,5.84,132.09,0.34,3.19,274,2.06,1097,25.2,5553,4.22,1.25,292.58,46.1,15.07
CONFIRMED,1.62,132.06,0.27,2.19,160,1.57,1681,22.7,5553,4.22,1.25,292.58,46.1,15.07
CONFIRMED,10.68,131.55,0.65,3.61,308,2.3,897,21.9,5553,4.22,1.25,292.58,46.1,15.07
CONFIRMED,6.1,169.57,0.04,4.69,2090,3.18,784,293.7,5085,4.58,0.71,297.05,46.03,15.02
CONFIRMED,3.58,134.03,0.08,2.91,11400,10.43,1145,1838.4,5524,4.42,0.99,289.61,44.35,13.94
FALSE POSITIVE,3.19,171.65,1.23,3.12,1040,23.88,1079,37.2,5450,4.55,0.81,297.79,45.57,15.65
CONFIRMED,5.83,173.01,0.03,2.92,1540,4.09,1013,81.1,5561,4.36,1.06,288.16,45.82,15.84
CONFIRMED,12.41,142.54,0.02,3.74,611,2.58,787,25.6,5561,4.36,1.06,288.16,45.82,15.84
CONFIRMED,18.75,147.13,0.51,3.9,797,3.05,686,26.7,5561,4.36,1.06,288.16,45.82,15.84
CONFIRMED,20.86,180.02,0.07,5.19,1910,5.5,781,117,6035,4.22,1.26,294.02,45.85,15.24
CONFIRMED,42.63,141.17,0.14,6.2,1720,5.22,615,78.7,6035,4.22,1.26,294.02,45.85,15.24
CONFIRMED,87.65,134.94,0.15,8.87,1010,4,484,37.5,6035,4.22,1.26,294.02,45.85,15.24
CONFIRMED,9.47,178.42,0.08,2.43,2240,2.13,407,124.7,3582,4.81,0.46,283.73,45.96,15.07
CONFIRMED,0.89,134.54,0.01,1.1,742,1.24,893,87.8,3582,4.81,0.46,283.73,45.96,15.07
CONFIRMED,4.94,136.33,0.57,3.25,11100,10.62,1008,2040.7,5514,4.46,0.98,296.2,49.14,13.76
CONFIRMED,20.83,176.59,0.26,4.05,988,2.74,595,45.1,5537,4.55,0.88,293.02,45.91,15.41
CONFIRMED,9.95,171.7,0.04,3.39,995,3.12,807,51,5344,4.37,1.01,296.06,45.98,15.6
CONFIRMED,1.05,133.92,0.04,1.9,213,1.45,1710,25.3,5344,4.37,1.01,296.06,45.98,15.6
CONFIRMED,5.71,132.64,0.5,2.34,298,1.78,971,16.7,5344,4.37,1.01,296.06,45.98,15.6
CONFIRMED,8.15,140.57,0.97,5.07,447,3.43,1050,32.2,5896,4.2,1.24,290.41,38.34,14.93
CONFIRMED,19,144.74,1.3,4.53,431,43.17,792,16.9,5896,4.2,1.24,290.41,38.34,14.93
CONFIRMED,4.24,137.07,0.95,3.28,174,2.07,1305,15.1,5896,4.2,1.24,290.41,38.34,14.93
CONFIRMED,28.57,143.83,0.07,4.94,825,2.32,538,97.1,5551,4.51,0.81,296.98,43.21,13.77
FALSE POSITIVE,0.45,133.52,1.3,3.54,187,35.74,2562,28.9,6167,4.44,1.06,297.1,47.64,15.34
FALSE POSITIVE,0.38,170.25,1.25,0.87,1970,59.56,3000,458.6,5075,3.89,1.78,290.91,38.34,13.79
FALSE POSITIVE,9.88,173.61,1.02,2.78,18500,23.6,860,534.5,6113,4.51,0.92,281.67,42.04,15.21
FALSE POSITIVE,4.65,261.09,0.97,38.19,128,5.06,2259,91.7,6980,3.58,3.48,295.27,38.61,10.96
FALSE POSITIVE,17.51,174.28,0.99,1.82,4510,13.66,804,322.3,6224,4.33,1.13,287.62,39.13,12.34
FALSE POSITIVE,3.99,171.02,0.06,1.74,674,34.39,3145,37.1,4813,2.47,13.65,289.09,49.42,6.97
FALSE POSITIVE,0.53,133.74,1.23,2.14,748,23.61,2073,116.1,5582,4.5,0.85,295.1,41.01,15.06
FALSE POSITIVE,1.3,134.21,1.26,4.05,598,27.85,1610,140.6,5758,4.48,0.9,298.14,41.33,13.56
FALSE POSITIVE,2.56,134.5,1.23,9.08,114,23.35,1312,24.3,5948,4.51,0.9,298.77,41.21,14.55
FALSE POSITIVE,2.95,171.52,2.64,2.09,433,403.59,2404,62.3,8090,4,2.23,292.61,43.31,10.47
CONFIRMED,224.78,142.1,0.65,11.19,3490,7.67,333,235.7,5873,4.29,1.24,291.65,44.69,13.49
FALSE POSITIVE,0.89,133.26,0.22,0.88,322,1.25,1372,19.6,4768,4.63,0.71,291.17,38.01,15.72
FALSE POSITIVE,5.77,133.31,0.71,2.92,248,7.47,1964,22.2,5772,3.36,4.43,294.53,38.2,14.31
CONFIRMED,7.43,139.9,0.1,3.64,443,2.47,1037,37.5,6049,4.35,1.18,292.71,38.36,14.82
CONFIRMED,15.99,137.6,0.53,4.16,179,1.62,803,10.9,6049,4.35,1.18,292.71,38.36,14.82
FALSE POSITIVE,0.73,133.69,1.17,4.32,250,17.12,1922,37.5,5901,4.55,0.85,289.8,38.35,15.4
CONFIRMED,18.93,149.5,0.81,3.98,641,13.92,1171,41,4941,3.32,4.89,286.49,38.37,14.6
FALSE POSITIVE,0.93,134.32,0.74,4.26,186,3.22,2863,136.3,6215,3.85,2.19,292.78,47.46,13.08
FALSE POSITIVE,2.04,133.6,0.72,3.44,119,1.19,1572,27,6253,4.42,1.02,295.8,47.66,14.19
CONFIRMED,31.59,142.96,0.28,13.57,145,1.78,688,25.5,5676,4.1,1.49,295.92,47.45,13.29
CONFIRMED,1.97,178.69,0.34,1.83,30200,8.78,753,1252.5,3807,4.76,0.5,292.07,38.84,15.72
FALSE POSITIVE,4.62,133.39,0.77,6,4400,7.48,1170,270.1,6013,4.38,1.03,297.31,49.7,13.65
FALSE POSITIVE,7.82,123.5,0.01,3.84,42.2,2.78,2101,37.2,7221,3.49,4.24,282,48.54,9.28
CONFIRMED,2.79,260.84,0.89,3.56,68.9,1.69,1784,53.6,6202,4.03,1.73,287.36,38.71,8.22
FALSE POSITIVE,52.57,184.97,1.2,6.75,26900,78.54,737,184.3,7240,4.18,1.72,290.94,38.54,9.73
FALSE POSITIVE,3.41,133.18,1.21,3.16,571,14.71,684,35.6,3995,4.71,0.56,298.99,41.07,15.26
FALSE POSITIVE,0.53,133.19,0.11,1.08,325,1.45,2069,63.6,5791,4.58,0.8,291.82,41.11,14.8
CONFIRMED,1.27,133.34,0.41,1.46,341,1.41,1331,73.5,5041,4.58,0.77,296.86,41.1,14
FALSE POSITIVE,8.67,137.34,1.28,4.97,2120,67.37,1303,187.6,6266,3.92,1.89,299.4,45.32,13.03
CONFIRMED,1.48,131.83,0.14,2.32,155,5.88,2740,27.2,4941,3.32,4.89,286.49,38.37,14.6
CONFIRMED,4.15,134.58,0.64,2.58,223,7.62,1941,24.5,4941,3.32,4.89,286.49,38.37,14.6
CONFIRMED,8.73,135.08,0.31,4.49,271,1.59,890,24.8,5982,4.49,0.96,287.44,38.09,14.79
FALSE POSITIVE,10.27,136.5,0.69,3.73,400,1.81,770,20.1,5699,4.55,0.85,292.28,38.28,15.21
FALSE POSITIVE,3.31,180.68,1.15,2.59,18000,25.89,1027,39.6,5534,4.63,0.71,292.08,38.63,15.54
FALSE POSITIVE,4.8,134.37,0.79,9.04,15300,16.91,1347,298,6715,4.35,1.24,296.13,39,13.32
FALSE POSITIVE,15.07,140.65,1.02,5.99,36300,56.44,932,154.6,5751,4.03,1.63,293.93,38.74,13.86
FALSE POSITIVE,34.82,163.02,0.66,11.17,18800,11.36,459,882.6,5114,4.52,0.78,286.87,39.1,15.19
FALSE POSITIVE,0.65,133.11,1.22,2.01,2780,33.65,2090,195.2,5555,4.38,1.06,292,38.44,15
FALSE POSITIVE,18.95,262.47,1.23,24.25,868,71.39,1139,249.3,6362,3.76,2.53,284.03,49.42,10.99
FALSE POSITIVE,4.35,262.73,1.19,3.28,626,2436.69,6421,56.3,3598,0.65,101.45,298.8,40.84,10.68
FALSE POSITIVE,47.93,179.1,1.27,2.69,2140,68.02,905,221.1,8214,4.1,1.94,295.6,50.72,10.38
FALSE POSITIVE,4,261.72,0.03,3.69,32.8,2.98,2203,6.1,5066,3.12,5.32,283.74,44.71,10.73
FALSE POSITIVE,1.59,133.92,0,5.56,633,1.56,1053,66.9,4506,4.63,0.65,291.76,37.1,15.47
FALSE POSITIVE,67.59,151.75,0.73,12.25,4160,12.1,588,60.9,6038,4.08,1.74,295.59,45.36,13.68
CONFIRMED,17.03,143.33,0.2,4.65,569,2.54,755,29.8,5839,4.33,1.07,290.51,41.24,15.38
CONFIRMED,6.85,132.17,0.08,3.53,247,1.67,1022,17.7,5839,4.33,1.07,290.51,41.24,15.38
CONFIRMED,67.83,125.88,0.03,7.36,508,2.39,476,15.5,5839,4.33,1.07,290.51,41.24,15.38
CONFIRMED,43.13,166.26,0.67,3.2,448,2.39,554,11.8,5839,4.33,1.07,290.51,41.24,15.38
CONFIRMED,1.22,133.21,0.29,1.71,196,1.54,1741,21.1,5553,4.32,1.11,290.61,41.2,15.38
CONFIRMED,25.93,149.76,0.01,4.61,415,2.48,695,42.2,5952,4.29,1.23,291.98,38.06,13.7
CONFIRMED,83.45,158.68,0.06,6.54,503,2.73,471,36.1,5952,4.29,1.23,291.98,38.06,13.7
FALSE POSITIVE,7.05,139.8,1.2,2.93,401,25.2,986,24,5766,4.36,1.07,290.13,38.4,14.93
CONFIRMED,12.99,136.32,0.09,6.02,271,2.03,866,38.7,5765,4.24,1.24,291.42,38.22,13.97
FALSE POSITIVE,11.12,133.1,0.94,4.21,4840,8.96,853,115.3,6122,4.47,1,295.29,38.96,15.38
FALSE POSITIVE,1.92,134.66,0.94,3.57,1920,5.09,1392,103.4,5778,4.53,0.91,291.45,38.64,14.94
FALSE POSITIVE,0.64,134.18,1.25,1.86,2550,19,1177,182.2,3920,4.7,0.55,285.08,39.18,15.43
FALSE POSITIVE,1.67,133.86,1.27,1.89,2010,97.27,2636,148,6261,3.69,2.79,291.48,38.5,11.84
FALSE POSITIVE,55.66,156.35,1.3,23.55,3410,34.14,434,103.4,5587,4.53,0.85,294.74,39.02,15.59
CONFIRMED,52.09,158.74,0.07,8.64,2890,7.14,592,243.5,6198,4.24,1.32,300.52,44.38,13.91
FALSE POSITIVE,7.15,266.05,0.98,7.69,780,7.41,1482,24.2,7443,4.17,1.74,289.87,49.69,12.62
FALSE POSITIVE,2,261.96,0.24,2.23,261,1.42,1311,22.2,5346,4.44,0.89,298.45,47.26,14.61
CONFIRMED,8.19,260.87,0.38,3.05,518,1.92,782,38.4,5251,4.49,0.85,291.93,38.01,14.14
CONFIRMED,76.05,161.71,0.02,7.16,446,1.75,372,17.4,5251,4.49,0.85,291.93,38.01,14.14
CONFIRMED,3.34,141.35,0.43,2.93,178,1.67,1356,48.8,5873,4.29,1.24,291.65,44.69,13.49
FALSE POSITIVE,3.32,134.44,0.47,3.57,78.7,15.33,3859,8.6,5234,2.41,16.96,288.68,41.31,11.9
FALSE POSITIVE,36.98,133.63,1.25,4.74,1270,38.6,602,59.2,5589,4.19,1.24,288.44,41.17,13.7
FALSE POSITIVE,1.85,133.18,1.11,10.23,233,20.42,2154,54.4,7117,4.18,1.47,293.27,41.26,13.47
FALSE POSITIVE,1.3,134.21,0.67,2.82,36.7,0.98,2393,34.7,6802,4.1,1.52,298.14,41.33,11.56
FALSE POSITIVE,145.56,146.06,1.27,5.41,2930,40.15,387,58.1,6148,4.35,1.1,286.49,37.49,13.88
CONFIRMED,3.75,135.11,0.94,1.98,183,1.68,1160,38,5751,4.45,0.98,290.88,38.06,13.33
CONFIRMED,11.09,141.76,0.02,6.29,148,3.51,1422,38.9,6353,3.7,2.87,291.03,38.21,12.81
FALSE POSITIVE,7.24,139.1,0.04,2.31,58,0.65,837,27.2,5370,4.49,0.87,294.49,38.19,11.16
CONFIRMED,8.71,363.06,0.06,2.49,1420,2.01,543,28.1,4362,4.72,0.55,293.8,38.64,15.84
FALSE POSITIVE,14.86,354.57,0.32,3.16,840,1.57,454,14.4,4362,4.72,0.55,293.8,38.64,15.84
CONFIRMED,4.18,353,0.14,2.34,532,1.23,694,14.9,4362,4.72,0.55,293.8,38.64,15.84
CONFIRMED,27.4,133.63,0.02,6.85,748,3.63,734,79.3,6198,4.24,1.32,300.52,44.38,13.91
CONFIRMED,3.18,261.84,0.17,1.02,201,1.21,1101,41,5511,4.55,0.86,295.57,42.81,12.55
CONFIRMED,10.38,268.02,0.32,2.72,802,2.18,672,41.9,5095,4.57,0.78,291.36,37.61,13.56
CONFIRMED,24.57,135.87,0.95,3.59,764,2.82,505,26.3,5095,4.57,0.78,291.36,37.61,13.56
FALSE POSITIVE,81.22,184.26,1.01,4.11,9880,16.59,385,63,5619,4.54,0.87,296.38,48.05,15.49
FALSE POSITIVE,0.82,132.84,0.01,2.08,1150,2.92,1784,121.1,5619,4.54,0.87,296.38,48.05,15.49
CONFIRMED,3.02,132.42,0.42,2.8,7770,12.14,1489,1225.3,6063,4.26,1.36,285.24,46.67,13.96
CONFIRMED,1.02,133.45,0.02,1.37,129,1.14,1734,21.6,5366,4.36,1.02,296.68,41.39,14.8
CONFIRMED,12.11,140.21,0.92,6.35,285,2.98,1005,33.4,6021,4.09,1.46,293.08,41.14,14.35
CONFIRMED,4.76,137.7,0.62,4.66,125,1.7,1372,20.9,6021,4.09,1.46,293.08,41.14,14.35
CONFIRMED,20.5,147.44,0.97,8.54,243,2.96,843,22.8,6021,4.09,1.46,293.08,41.14,14.35
FALSE POSITIVE,13.55,139.82,0.5,2.29,48.3,0.62,679,16.5,5370,4.49,0.87,294.49,38.19,11.16
FALSE POSITIVE,29.74,172.39,0.34,23.28,66900,20.06,455,765,4889,4.57,0.79,297.76,41.68,11.75
FALSE POSITIVE,14.15,140.7,1.1,4.47,61600,53.25,777,930.3,5850,4.4,1.04,290.35,41.77,12.93
FALSE POSITIVE,0.84,134.22,1.3,3.53,2470,35.27,1864,245.6,5705,4.45,0.92,298.71,41.64,15.36
FALSE POSITIVE,0.85,133.59,1.26,1.45,1910,32.11,1908,185,5941,4.5,0.94,292.24,41.74,15.32
FALSE POSITIVE,11.99,143.28,1.27,5.74,2120,37.47,880,102.8,6110,4.35,1.07,296.3,41.6,14.98
CONFIRMED,53.53,147.86,0.35,5.67,1090,2.28,348,34.5,4736,4.62,0.71,293.74,38.94,14.89
FALSE POSITIVE,0.39,133.31,1.19,2.95,565,24.17,2705,64.8,6277,4.45,1.03,294.65,38.64,15.03
CONFIRMED,0.93,133.8,0.18,1.19,376,1.16,1115,22.6,4109,4.67,0.6,291.69,38.57,15.85
CONFIRMED,13.48,136.62,0.01,5.02,654,3.39,929,80.8,6198,4.24,1.32,300.52,44.38,13.91
CONFIRMED,31.88,160.21,0.94,6.12,910,3.7,563,25.3,5779,4.48,0.97,293.57,39.04,15.37
FALSE POSITIVE,67.69,138.53,0.56,51.35,25500,175.98,1173,1328.2,5355,2.75,10.7,293.47,46.97,10.7
CONFIRMED,12.06,138.22,0.39,2.06,300,1.62,750,32.4,5547,4.45,0.93,296.5,47.18,13.58
CONFIRMED,9.93,136.49,0.04,5.68,399,2.41,931,26.2,5782,4.28,1.22,291.5,37.06,15.21
CONFIRMED,21.85,144.32,0.68,3.44,356,1.75,618,23,5830,4.54,0.88,290.73,37.25,14.25
CONFIRMED,8.19,139,0.82,5.23,115,1.74,1144,15.7,6021,4.09,1.46,293.08,41.14,14.35
FALSE POSITIVE,19.98,137.17,0.92,10.17,944,6.85,1351,86.2,9651,4.23,1.9,299.15,40.29,13.85
CONFIRMED,41.81,142.82,0.03,6.06,434,2.02,533,28.3,5907,4.45,0.97,290.13,41.38,14.5
FALSE POSITIVE,15.45,142.21,0.64,2.41,85.3,2.02,1285,21,7839,4.08,2.07,297.98,41.44,11.8
FALSE POSITIVE,89.7,176.31,0.68,5.54,273000,102.08,554,3420.3,6214,4.02,1.58,299.02,44.17,13.62
FALSE POSITIVE,3.01,135.26,1.26,3.14,1140,65.25,2371,253.4,8601,4.14,2.03,294.14,39.09,12.4
CONFIRMED,4.78,124.06,0.02,2.74,473,1.85,932,115.4,5192,4.49,0.87,299.14,40.95,13.04
FALSE POSITIVE,7.81,357.52,0.95,3.01,2010,5.33,903,100,5887,4.5,0.93,294.03,41.68,15.45
FALSE POSITIVE,29.75,157.39,0.94,22.7,779,3.6,557,55.9,5334,4.37,1,297.75,41.68,15.26
CONFIRMED,5.33,357.13,0.04,3.4,611,2.26,1007,34.1,5831,4.52,0.92,290.22,41.78,15.81
FALSE POSITIVE,0.74,131.95,1.26,1.05,2000,26.67,1730,251.9,5496,4.59,0.78,291.07,39,14.49
FALSE POSITIVE,2.99,133.27,1.22,3.68,803,21.81,1101,48.2,5497,4.58,0.81,294.07,38.98,15.38
FALSE POSITIVE,2.78,133.23,1.26,2.45,904,67.17,1934,86.1,6028,3.84,2.15,295.94,38.88,14.22
FALSE POSITIVE,0.39,178.59,1.23,3.02,904,23.05,2216,82.4,5628,4.58,0.81,294.62,38.61,15.86
CONFIRMED,13.06,137.63,0.72,3.22,237,1.45,734,19.4,5830,4.54,0.88,290.73,37.25,14.25
FALSE POSITIVE,25.95,154.88,1.22,14.58,1060,22.32,521,65.8,5372,4.58,0.8,293.71,38.98,14.58
FALSE POSITIVE,25.95,154.88,1.25,14.76,2020,24.6,494,79.4,5198,4.6,0.74,293.68,38.99,15.34
FALSE POSITIVE,5.69,135.89,0.85,17.57,5560,4.5,1059,414.4,6052,4.44,0.96,290.78,37.56,14.38
FALSE POSITIVE,15.66,147.4,0.99,2.48,5140,27.36,1060,175.9,5996,3.9,2.22,289.87,43.2,13.44
FALSE POSITIVE,4.02,133.64,0.83,4.41,20900,16.94,1232,282.6,6210,4.45,1.03,295.04,44.19,15.47
FALSE POSITIVE,185.02,273.19,1,4.87,43500,49.82,379,938.2,6025,4.24,1.37,296.31,44.17,14.69
FALSE POSITIVE,2.9,450.76,0.97,3.18,1220,14.35,2170,73.9,5970,3.62,2.99,300.87,44.15,15.04
CONFIRMED,8.7,357.56,0.5,2.94,1070,2.86,748,74,5074,4.47,0.86,287.59,44.18,15.07
CONFIRMED,8.13,358.68,0.36,3.73,224,1.39,875,10.7,5831,4.52,0.92,290.22,41.78,15.81
CONFIRMED,0.97,133.08,0.12,1.62,198,1.16,1612,82.6,5487,4.56,0.83,291.43,41.7,13.51
CONFIRMED,4.9,133.4,0.66,1.81,274,1.48,904,16.9,5093,4.48,0.85,287.27,41.64,15.46
FALSE POSITIVE,2.76,135.23,0.8,2.76,39000,20.05,1231,349.2,5747,4.51,0.89,282.6,44.29,15.24
FALSE POSITIVE,1.91,134.64,0.94,3.29,7830,13.63,1646,124.6,6289,4.41,1.12,301.02,44.23,14.45
FALSE POSITIVE,3.98,135.53,0.78,2.4,381,3.32,1374,27.1,5570,4.07,1.55,292.92,38.48,15.04
FALSE POSITIVE,0.64,133.98,1.19,1.57,457,19.51,2011,53.7,5958,4.56,0.83,292.35,38.94,15.1
CONFIRMED,16.09,139.49,0.65,5.73,598,3.42,875,31.3,6157,4.22,1.33,292.48,38.51,15.32
CONFIRMED,10.3,142.74,0,4.89,272,2.2,1015,16.4,6157,4.22,1.33,292.48,38.51,15.32
CONFIRMED,35.68,145.01,0.61,7.38,471,3.02,671,18.5,6157,4.22,1.33,292.48,38.51,15.32
FALSE POSITIVE,161.79,214.04,0.27,5.31,87800,36.14,375,704.5,6018,4.33,1.21,291.38,37.07,15.66
CONFIRMED,16.57,146.15,0.16,4.26,1330,2.54,548,41.9,4987,4.6,0.72,292.47,37.57,15.39
CONFIRMED,47.33,151.42,0.43,2.71,932,2.18,386,14,4987,4.6,0.72,292.47,37.57,15.39
FALSE POSITIVE,0.86,133.68,0.55,1.31,82.2,0.82,1881,33.1,6021,4.54,0.87,291.07,37.74,13.1
CONFIRMED,40.81,155.72,0.02,13.14,314,3.71,772,54.8,6207,3.96,2.1,292.04,37.38,13.04
CONFIRMED,2.47,354.93,0.57,1.63,309,1.56,1139,29.5,5074,4.47,0.86,287.59,44.18,15.07
CONFIRMED,6.62,360.37,0.04,3.68,549,2.98,1066,31.5,5529,4.19,1.29,294.48,44.17,15.59
CONFIRMED,107.72,354.2,0,8.04,1400,4.75,421,30.5,5529,4.19,1.29,294.48,44.17,15.59
FALSE POSITIVE,5.25,357.32,1.26,4.91,10600,37.15,952,146.3,5542,4.52,0.87,295,44.32,15.76
CONFIRMED,9.67,125.34,0.19,3.26,953,2.63,736,178,5192,4.49,0.87,299.14,40.95,13.04
FALSE POSITIVE,100.3,277.06,1.26,8.7,5450,29.55,313,63.2,5055,4.57,0.77,284.52,44.45,15.78
FALSE POSITIVE,0.99,448.6,1.25,3.97,1350,43.98,2308,117.7,6243,4.18,1.39,301.4,44.32,15.02
CONFIRMED,14.13,142.9,0.81,3.69,629,2.73,739,23,5779,4.48,0.97,293.57,39.04,15.37
CONFIRMED,48.65,172.13,0.99,5.46,642,4.14,489,12.2,5779,4.48,0.97,293.57,39.04,15.37
CONFIRMED,8.4,136.31,0.57,6.34,340,2,984,28,6309,4.44,1.04,290,38.54,15.29
CONFIRMED,8.64,139.95,0.05,5.46,396,5.99,1419,38.6,5684,3.66,3.05,295.98,38.95,14.51
CONFIRMED,140.11,216.22,0.02,18.5,267,3.42,511,29,6207,3.96,2.1,292.04,37.38,13.04
CONFIRMED,3.48,132.99,0.08,1.81,135,1.17,1156,23.4,5405,4.37,1.02,290.68,37.36,13.62
FALSE POSITIVE,8.36,172.26,0.21,7.54,28100,40.35,1263,425.6,5463,3.79,2.45,290.33,37.73,16.21
FALSE POSITIVE,1.84,352.72,0.05,2.74,2720,4.86,1426,63.7,5751,4.51,0.94,292.9,37.66,15.37
CONFIRMED,35.62,197.04,0.01,8.46,4630,5.17,456,155,5123,4.52,0.78,288.42,41.03,15.7
FALSE POSITIVE,1.09,133.19,0.47,1.86,219,1.29,1611,45.5,5639,4.55,0.86,295.51,44.11,14.5
CONFIRMED,10.13,139.12,0.75,3.52,477,1.95,767,38,5676,4.55,0.82,290.5,44.14,14.74
FALSE POSITIVE,1.61,178.53,0.45,2.39,104,1.25,1680,19.3,5580,4.22,1.21,300.33,44.15,13.95
CONFIRMED,3.77,357.12,0.05,3.81,12400,12.05,1302,100.8,6322,4.43,1.08,291.28,47.33,15.44
FALSE POSITIVE,29.12,142.16,1.18,3.42,6500,15.25,356,63.4,4457,4.77,0.48,297.39,47.26,15.19
FALSE POSITIVE,31.83,366.7,1.28,2.92,4460,35.8,564,78.7,5908,4.51,0.92,285,44.41,15.58
FALSE POSITIVE,3.63,134.7,0.97,5.63,427,3.28,1434,76.4,6506,4.34,1.22,296.29,44.33,13.06
CONFIRMED,5.73,135.18,0.22,2.03,643,1.38,569,20.8,3968,4.71,0.55,282.72,44.35,15.95
CONFIRMED,3.76,133.43,0.13,2.29,417,1.58,977,27.9,5311,4.59,0.79,287.48,44.24,15.76
FALSE POSITIVE,7.45,131.78,0.04,3.69,552,37.37,2595,18.3,4475,2.33,16.76,290.25,37.76,14.16
FALSE POSITIVE,7.44,134.76,0.97,2.99,547,2.74,883,34,5815,4.54,0.88,296.31,44.21,15.24
